%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status_list0.goal_id.stamp,field.status_list0.goal_id.id,field.status_list0.status,field.status_list0.text
1780307342621856415,4699,1780307342621533387,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307342822006367,4700,1780307342821587556,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307343021995483,4701,1780307343021597037,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307343221980327,4702,1780307343221551360,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307343422068351,4703,1780307343421633134,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307343622003091,4704,1780307343621587822,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307343822123303,4705,1780307343821576625,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307344022051272,4706,1780307344021582356,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307344221863769,4707,1780307344221542305,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307344421989034,4708,1780307344421531993,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307344621853043,4709,1780307344621550537,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307344822910149,4710,1780307344822300345,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307345021798565,4711,1780307345021527935,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307345221952788,4712,1780307345221611427,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307345421867684,4713,1780307345421562157,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307345624437425,4714,1780307345621604815,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307345822025502,4715,1780307345821585754,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307346022400251,4716,1780307346021575599,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307346221909982,4717,1780307346221546850,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307346422004412,4718,1780307346421560028,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307346622298378,4719,1780307346621567165,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307346821938945,4720,1780307346821603365,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307347021957853,4721,1780307347021606804,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307347221906812,4722,1780307347221547429,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307347421840926,4723,1780307347421545920,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307347621846605,4724,1780307347621548422,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
