%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1780307480651874374,0.0,0.0,0.0,0.0,0.0,1.0
1780307480705626716,0.0,0.0,0.0,0.0,0.0,1.0
1780307480747295011,0.0,0.0,0.0,0.0,0.0,1.0
1780307480800460101,0.0,0.0,0.0,0.0,0.0,1.0
1780307480850174237,0.0,0.0,0.0,0.0,0.0,1.0
1780307480897694421,0.0,0.0,0.0,0.0,0.0,1.0
1780307480950771124,0.0,0.0,0.0,0.0,0.0,1.0
1780307480998480011,0.0,0.0,0.0,0.0,0.0,1.0
1780307481052977941,0.0,0.0,0.0,0.0,0.0,1.0
1780307481099622274,0.0,0.0,0.0,0.0,0.0,1.0
1780307481149543028,0.0,0.0,0.0,0.0,0.0,1.0
1780307481197409053,0.0,0.0,0.0,0.0,0.0,1.0
1780307481250089186,0.0,0.0,0.0,0.0,0.0,1.0
1780307481297966148,0.0,0.0,0.0,0.0,0.0,1.0
1780307481347455591,0.0,0.0,0.0,0.0,0.0,1.0
1780307481397190977,0.0,0.0,0.0,0.0,0.0,1.0
1780307481447170378,0.0,0.0,0.0,0.0,0.0,1.0
1780307481497173008,0.0,0.0,0.0,0.0,0.0,1.0
1780307481548879736,0.0,0.0,0.0,0.0,0.0,1.0
1780307481597258167,0.0,0.0,0.0,0.0,0.0,1.0
1780307481647334080,0.0,0.0,0.0,0.0,0.0,1.0
1780307481697149832,0.0,0.0,0.0,0.0,0.0,1.0
1780307481755826076,0.0,0.0,0.0,0.0,0.0,1.0
1780307481797509059,0.0,0.0,0.0,0.0,0.0,1.0
1780307481847525908,0.0,0.0,0.0,0.0,0.0,1.0
1780307481905601568,0.0,0.0,0.0,0.0,0.0,1.0
1780307481947102984,0.0,0.0,0.0,0.0,0.0,1.0
1780307481997709793,0.0,0.0,0.0,0.0,0.0,1.0
1780307482047157829,0.0,0.0,0.0,0.0,0.0,1.0
1780307482100900119,0.0,0.0,0.0,0.0,0.0,1.0
1780307482147055276,0.0,0.0,0.0,0.0,0.0,1.0
1780307482198729607,0.0,0.0,0.0,0.0,0.0,1.0
1780307482247386377,0.0,0.0,0.0,0.0,0.0,1.0
1780307482297237598,0.0,0.0,0.0,0.0,0.0,1.0
1780307482347037464,0.0,0.0,0.0,0.0,0.0,1.0
1780307482397032855,0.0,0.0,0.0,0.0,0.0,1.0
1780307482447086008,0.0,0.0,0.0,0.0,0.0,1.0
1780307482497854748,0.0,0.0,0.0,0.0,0.0,1.0
1780307482547138614,0.0,0.0,0.0,0.0,0.0,1.0
1780307482598978261,0.0,0.0,0.0,0.0,0.0,1.0
1780307482647008091,0.0,0.0,0.0,0.0,0.0,1.0
1780307482698916854,0.0,0.0,0.0,0.0,0.0,0.727851902353
1780307492947605048,0.0,0.0,0.0,0.0,0.0,0.0
1780307495681094497,-0.0693845160765,0.092110522119,0.0,0.0,0.0,0.582061587858
1780307495853764673,0.0101393447441,0.143130244399,0.0,0.0,0.0,0.567221891403
1780307496062170574,0.200994476115,0.294008832075,0.0,0.0,0.0,0.506644048417
1780307496242593042,0.263663509967,0.291591467185,0.0,0.0,0.0,0.599382980015
1780307496435734935,0.291711415788,0.373524187739,0.0,0.0,0.0,0.443553441537
1780307496655040173,0.438675400157,0.423897627017,0.0,0.0,0.0,0.462853566359
1780307496862602567,0.530063873477,0.332082939616,0.0,0.0,0.0,0.23150601318
1780307497088194807,0.682200747272,0.185605898138,0.0,0.0,0.0,0.2260592753
1780307497266022848,0.743702066009,0.123362762321,0.0,0.0,0.0,0.270470159984
1780307497596955145,0.451610212544,-0.172077763412,0.0,0.0,0.0,-0.0536956588076
1780307497747482266,0.176425125209,-0.391950281944,0.0,0.0,0.0,-0.0505439170261
1780307497880506427,0.127940991356,-0.43796193864,0.0,0.0,0.0,-0.0281739774479
1780307498105898924,0.0436142814998,-0.594370466527,0.0,0.0,0.0,-0.0615684770184
1780307498279040411,0.0933191620744,-0.533433196789,0.0,0.0,0.0,-0.056590656033
1780307498434733054,0.349744135626,-0.562995614655,0.0,0.0,0.0,0.0145479216379
1780307498615120417,0.355074208726,-0.22611727317,0.0,0.0,0.0,0.00980955224047
1780307498797265680,0.497043675976,-0.212620164124,0.0,0.0,0.0,0.410050029917
1780307499013892061,0.350346766406,-0.0452979839253,0.0,0.0,0.0,0.414627026252
1780307499197387925,0.386908225181,-0.0395188883233,0.0,0.0,0.0,0.964289678575
1780307499397533502,0.396918875717,0.0932344046191,0.0,0.0,0.0,1.17375076745
1780307499640423594,0.498505110305,0.0412409779853,0.0,0.0,0.0,1.2
